(6, 39, 39)
(7, 58, 19)
(8, 65, 7)
(9, 90, 25)
(10, 101, 11)
(11, 130, 29)
(12, 143, 13)
(13, 176, 33)
(14, 191, 15)
(15, 226, 35)
(16, 247, 21)
(17, 290, 43)
(18, 310, 20)
(19, 360, 50)
(20, 379, 19)
(21, 432, 53)
(22, 455, 23)
(23, 506, 51)
(24, 534, 28)
(25, 593, 59)
(26, 627, 34)
(27, 687, 60)
(28, 723, 36)
(29, 787, 64)
(30, 833, 46)
(31, 896, 63)
(32, 941, 45)
(33, 1006, 65)
(34, 1061, 55)
(35, 1135, 74)
(36, 1192, 57)
(37, 1266, 74)
(38, 1327, 61)
(39, 1396, 69)
(40, 1471, 75)
(41, 1546, 75)
(42, 1623, 77)
(43, 1696, 73)
(44, 1774, 78)
(45, 1846, 72)
(46, 1933, 87)
(47, 2007, 74)
(48, 2102, 95)
(49, 2181, 79)
(50, 2280, 99)
(51, 2364, 84)
(52, 2453, 89)
(53, 2546, 93)
(54, 2642, 96)
(55, 2734, 92)
(56, 2837, 103)
(57, 2936, 99)
(58, 3038, 102)
(59, 3148, 110)
(60, 3256, 108)
(61, 3367, 111)
(62, 3507, 140)
(63, 3622, 115)
(64, 3764, 142)
(65, 3882, 118)
(66, 4028, 146)
(67, 4150, 122)
(68, 4300, 150)
(69, 4396, 96)
(70, 4541, 145)
(71, 4646, 105)
(72, 4792, 146)
(73, 4902, 110)
(74, 5051, 149)
(75, 5166, 115)
(76, 5322, 156)
(77, 5436, 114)
(78, 5599, 163)
(79, 5716, 117)
(80, 5879, 163)
(81, 6006, 127)
(82, 6166, 160)
(83, 6299, 133)
(84, 6463, 164)
(85, 6606, 143)
(86, 6776, 170)
(87, 6926, 150)
(88, 7094, 168)
(89, 7233, 139)
(90, 7414, 181)
(91, 7544, 130)
(92, 7745, 201)
(93, 7878, 133)
(94, 8086, 208)
(95, 8210, 124)
(96, 8410, 200)
(97, 8549, 139)
(98, 8752, 203)
(99, 8890, 138)
(100, 9098, 208)
(101, 9253, 155)
(102, 9465, 212)
(103, 9610, 145)
(104, 9812, 202)
(105, 9972, 160)
(106, 10183, 211)
(107, 10358, 175)
(108, 10568, 210)
(109, 10735, 167)
(110, 10947, 212)
(111, 11129, 182)
(112, 11333, 204)
(113, 11530, 197)
(114, 11748, 218)
(115, 11928, 180)
(116, 12155, 227)
(117, 12330, 175)
(118, 12581, 251)
(119, 12760, 179)
(120, 13008, 248)
(121, 13192, 184)
(122, 13439, 247)
(123, 13642, 203)
(124, 13879, 237)
(125, 14082, 203)
(126, 14312, 230)
(127, 14522, 210)
(128, 14752, 230)
(129, 14973, 221)
(130, 15207, 234)
(131, 15440, 233)
(132, 15672, 232)
(133, 15908, 236)
(134, 16133, 225)
(135, 16376, 243)
(136, 16622, 246)
(137, 16858, 236)
(138, 17103, 245)
(139, 17355, 252)
(140, 17601, 246)
(141, 17860, 259)
(142, 18098, 238)
(143, 18374, 276)
(144, 18618, 244)
(145, 18883, 265)
(146, 19132, 249)
(147, 19387, 255)
(148, 19655, 268)
(149, 19907, 252)
(150, 20192, 285)
(151, 20444, 252)
(152, 20717, 273)
(153, 20969, 252)
(154, 21233, 264)
(155, 21510, 277)
(156, 21788, 278)
(157, 22065, 277)
(158, 22329, 264)
(159, 22611, 282)
(160, 22890, 279)
(161, 23191, 301)
(162, 23458, 267)
(163, 23754, 296)
(164, 24022, 268)
(165, 24337, 315)
(166, 24615, 278)
(167, 24932, 317)
(168, 25213, 281)
(169, 25540, 327)
(170, 25800, 260)
(171, 26137, 337)
(172, 26422, 285)
(173, 26747, 325)
(174, 27034, 287)
(175, 27367, 333)
(176, 27654, 287)
(177, 27995, 341)
(178, 28276, 281)
(179, 28624, 348)
(180, 28912, 288)
(181, 29271, 359)
(182, 29554, 283)
(183, 29896, 342)
(184, 30197, 301)
(185, 30546, 349)
(186, 30843, 297)
(187, 31199, 356)
(188, 31504, 305)
(189, 31855, 351)
(190, 32184, 329)
(191, 32550, 366)
(192, 32868, 318)
(193, 33299, 431)
(194, 33648, 349)
(195, 34084, 436)
(196, 34441, 357)
